Chapter	Question	A	B	C	D	Answer	Explanation
7	"외부효과가 있는 시장에서 정부가 개입하면 반드시 효율성이 증가한다"는 주장은?	맞다	틀렸다 (정부 개입도 실패할 수 있다)	부분적으로 맞다	외부효과의 종류에 따라 다르다	B	정부실패: 정부의 개입도 완벽하지 않으므로, 오히려 상황을 악화시킬 수 있다.
8	경제적 순손실(Deadweight Loss)의 정의로 가장 적절한 것은?	세금으로 인한 재정 적자	세금 부과 후 총잉여의 순 감소	소비자와 생산자의 손실액 합계	세금 수입	B	경제적 순손실은 거래가 위축되면서 실현되지 못한 거래이득이다.
8	세금 부과 시 다음 중 올바른 것은?	조세수입 = 경제적 순손실	조세수입 > 소비자/생산자 잉여 감소액	소비자/생산자 잉여 감소액 > 조세수입 (경제적 순손실 발생)	둘을 비교할 수 없다	C	소비자와 생산자가 잃는 총액이 정부가 거두는 세금보다 크다 → 경제적 순손실 발생.
8	경제적 순손실이 발생하는 원인은?	세금이 불공정해서	세금으로 인해 거래량이 감소하여 거래이득이 실현되지 않음	정부의 낭비	세수가 작아서	B	세금 → 가격 변화 → 거래량 ↓ → 양쪽이 누릴 수 있었던 거래이득이 사라짐.
8	세금과 경제적 순손실의 관계는?	비례 (세금 2배 → 손실 2배)	제곱에 비례 (세금 2배 → 손실 4배)	반비례	무관	B	경제적 순손실 ∝ (세금)². 이는 세금이 높을수록 왜곡이 기하급수적으로 커진다는 뜻.
8	탄력성이 큰 시장에 세금을 부과하면?	거래량이 조금만 감소한다	거래량이 크게 감소하여 경제적 순손실이 크다	세수가 많다	소비자가 거의 피해를 받지 않는다	B	탄력적 시장 → 세금 → 거래량 큰 폭 감소 → 거래이득 많이 상실 → 경제적 순손실 큼.
8	비탄력적인 시장에 세금을 부과하면?	거래량이 크게 감소한다	거래량 감소폭이 작아서 세수는 많지만 경제적 순손실은 작다	경제적 순손실이 크다	경제적 순손실이 없다	B	비탄력적 시장 → 세금 → 거래량 작게 감소 → 세수 많음 + 손실 작음 = 효율적인 세금.
8	레퍼 곡선(Laffer Curve)이 의미하는 것은?	세율이 높을수록 항상 세수가 많다	세율을 0%에서 100%로 올리면 세수도 비례해서 증가한다	어떤 지점까지는 세율 인상 → 세수 증가, 이후 → 세수 감소	세율과 세수는 무관하다	C	레퍼 곡선: 세율이 너무 높으면 거래 왜곡이 심해져서 오히려 세수가 줄어든다.
8	레퍼 곡선 이론의 함의는?	세금을 최대한 거두어야 한다	최적 세율이 존재한다 (100% 아님)	세금을 거두면 안 된다	세율과 세수의 관계를 무시해야 한다	B	세금을 거두되, 경제 왜곡을 최소화하는 최적 세율이 존재한다는 의미.
8	세금 부과 전후의 잉여 변화를 분석하시오:** **부과 전: 소비자잉여 = 1,000, 생산자잉여 = 1,000, 총잉여 = 2,000** **부과 후: 소비자잉여 = 600, 생산자잉여 = 700, 조세수입 = 500** 총잉여 = 600 + 700 = 1,300 경제적 순손실 = 2,000 - 1,300 = 700 ① 경제적 순손실 = 조세수입 ② 경제적 순손실 = 200 ③ 경제적 순손실 = 700 ④ 경제적 순손실 없다 정답: ③ 해설: 경제적 순손실 = (소비자잉여 감소 + 생산자잉여 감소) - 조세수입 = (400 + 300) - 500 = 200? 아니다. 총잉여 감소 = 2,000 - 1,300 = 700이 정답. --- **177. 다음 시나리오를 비교하시오:** **A: 세금 작고, 시장 탄력적** **B: 세금 크고, 시장 비탄력적** 경제적 순손실: ① A > B ② A < B ③ A = B ④ 비교 불가 정답: ② 해설: 경제적 순손실 ∝ (세금)² × 탄력성. B가 세금도 크고... 아니, 비탄력적이면 손실이 작다. A가 탄력적이므로 손실이 크다 (A > B). 실제 계산: - A: (작은 세금)² × 높은 탄력성 = 중정도 손실 - B: (큰 세금)² × 낮은 탄력성 = 큰 손실 (세금의 제곱이 영향 큼) 정정: 조건을 다시 해석하면, B의 세금이 크므로 제곱 효과로 인해 B > A일 가능성 높음. --- **178. "우리는 비탄력적인 산업이므로 세금 부과 후 거래량이 줄어들지 않을 것"이라는 예상은?	맞다 (비탄력적이면 거래량 불변)	거래량은 줄어들지만 세수는 많다	거래량과 세수 모두 감소한다	거래량은 불변이지만 경제적 순손실이 없다	B	비탄력적 → 거래량 감소 작음 → 세수는 상대적으로 많지만 여전히 경제적 순손실 발생.
8	세금의 경제적 비용(경제적 순손실)을 최소화하려면?	세금을 최대한 크게 부과	탄력적인 시장보다 비탄력적인 시장에 세금 부과	거래량이 클수록 좋다	②③이 모두 맞다	B	비탄력적 시장에 세금 → 거래량 감소 적음 → 경제적 순손실 작음. 이것이 "효율적인 세금"의 원리.
8	레퍼 곡선에서 세율이 0%일 때와 100%일 때의 세수는?	0%, 100%에서 모두 0원	0%일 때 0원, 100%일 때 최대	0%일 때 최대, 100%일 때 0원	둘 다 같다	A	세율 0% → 세금 없음 → 세수 0원, 세율 100% → 아무도 일하지 않음 → 세수 0원.
8	어떤 나라가 세율을 계속 올리는데도 세수가 줄어들면?	경제학적으로 타당한 상황이다 (레퍼 곡선 우측 구간)	정부가 세금을 잘못 거둔 것	세금 체계에 문제가 있는 것	경제학적으로 설명 불가능	A	레퍼 곡선의 우측 구간: 세율 인상 → 거래 왜곡 심화 → 세수 감소.
8	"담배세는 좋은 세금이다"는 주장의 이유는?	담배가 해롭기 때문	담배 수요가 비탄력적 → 거래량 감소 적음 → 세수 많음 + 손실 작음	담배 기업의 이윤이 크기 때문	모든 사람에게 공평하기 때문	B	경제학적으로 "효율적인 세금"의 기준은 세수 대비 경제적 순손실 최소화다.
8	세금 부과 시 거래량이 변하지 않으면?	경제적 순손실이 없다	여전히 경제적 순손실이 발생한다	비탄력적인 시장이다	①③이 맞다	C	거래량이 변하지 않으면 → 완전비탄력 → 비탄력적. 하지만 경제적 순손실은 여전히 발생하거나 0일 수도 있다 (거래이득이 이미 극대화된 경우).
8	"세금이 작으면 경제적 순손실도 작다"는 주장의 정확성은?	항상 맞다	일반적으로 맞다 (세금의 제곱에 비례)	항상 틀렸다	탄력성에 따라 다르다	B	경제적 순손실 ∝ (세금)². 세금이 작으면 손실도 일반적으로 작지만, 탄력성의 영향도 크다.
8	"경제적 순손실이 크면 세금 정책이 나쁘다"는 주장은?	항상 맞다	상황에 따라 다르다 (세수와의 비교 필요)	항상 틀렸다	경제학적으로 판단 불가능	B	경제적 순손실이 크더라도 세수 대비 효율성이 높을 수 있고, 사회적 목표(예: 해로운 상품 소비 억제)가 있을 수 있다.
8	레퍼 곡선 이론의 가정 중 가장 현실과 다른 부분은?	세율 100%는 실제로 달성 불가능	경제 주체가 세율 변화에 즉각 반응	개인의 행동 변화가 완벽히 예측 가능	①②③이 모두 현실과 다르다	D	레퍼 곡선은 이론적 모델이며, 실제 경제에서는 더 복잡한 요소들이 작용한다.
8	세금 부과 후 "소비자 + 생산자의 잉여 감소액 < 조세수입"인 경우는?	경제적 순손실이 없다	경제적 순손실이 음수이다 (이득?)	거래이득이 완벽하지 않았다는 의미	①③이 맞다	C	일반적으로 잉여 감소 > 세수이므로 경제적 순손실 발생. 반대의 경우는 매우 드문 상황 (거래이득이 완벽하지 않은 경우).
8	"모든 세금은 경제적 순손실을 초래한다"는 주장의 타당성은?	항상 맞다	일반적으로 맞지만 예외가 있다 (외부효과 보정)	항상 틀렸다	경제학적으로 판단 불가능	B	부정적 외부효과가 있는 재화(예: 담배)에 세금을 부과하면, 세금이 사회 비용을 반영하여 오히려 효율성을 높일 수 있다.
8	레퍼 곡선에서 "최적 세율"을 결정하는 요소는?	세수 극대화 (곡선의 정점)	경제적 순손실 최소화 (곡선의 좌측)	사회의 여러 목표를 고려한 정치적·경제적 판단	③만 타당하다	C	최적 세율은 순수 경제학의 문제가 아니라, 정부의 재정 필요, 사회적 목표, 형평성 등을 종합적으로 고려한 것이다.
9	국제가격(World Price)과 국내가격(Domestic Price)의 관계를 분석할 때 중요한 것은?	둘의 차이가 큼/작음	국내가격과 국제가격의 대소 비교	국내가격이 절대적으로 높음/낮음	가격의 절대값	B	비교우위 판단은 가격 비교에서 나온다 (제3장과 동일).
9	소규모개방경제(Small Open Economy)의 정의로 가장 적절한 것은?	인구가 적은 경제	GDP가 작은 경제	국제가격에 영향을 미치지 못하는 경제	개발도상국 경제	C	소규모개방경제는 국제가격의 가격수용자다 (가격을 받아들이기만 함).
9	국내가격 < 국제가격인 재화는?	수입국	수출국	비교우위가 없는 국가	절대우위가 있는 국가	B	국내가격이 낮다 = 생산비용이 낮다 = 비교우위 있음 = 수출국.
9	무역 개시 후 수출국에서 발생하는 현상은?	소비자잉여 증가, 생산자잉여 감소	소비자잉여 감소, 생산자잉여 증가	둘 다 증가	둘 다 감소	B	수출국 → 가격 ↑ → 소비자 피해 (잉여 ↓), 생산자 이득 (잉여 ↑).
9	무역 개시 후 수입국에서 발생하는 현상은?	소비자잉여 증가, 생산자잉여 감소	소비자잉여 감소, 생산자잉여 증가	둘 다 증가	둘 다 감소	A	수입국 → 가격 ↓ → 소비자 이득 (잉여 ↑), 생산자 피해 (잉여 ↓).
9	관세(Tariff)의 정의로 올바른 것은?	수출품에 부과하는 세금	수입품에 부과하는 세금	국제 거래 모두에 부과하는 세금	정부의 모든 세금	B	관세는 수입품 보호 정책의 일환이다.
9	관세 부과 후 국내 가격은?	국제가격으로 하락	국제가격과 동일	국제가격보다 상승	변하지 않음	C	관세 → 수입품 가격 ↑ → 국내 가격도 국제가격보다 상승.
9	무역의 경제학적 결론은?	무역은 한 쪽에만 이득	무역은 양쪽 모두에 이득 (총잉여 증가)	무역은 경제에 해로움	무역의 득과 실은 동일	B	무역 → 특화 → 생산량 증가 → 양쪽 모두 더 소비 가능 = 양쪽 이득.
9	다음 상황을 분석하시오:** **국제가격: 쌀 = 1,000원/kg** **한국 국내가격 (무역 전): 쌀 = 1,500원/kg	한국이 수출국	한국이 수입국	한국이 쌀 생산을 중단해야 함	무역이 불가능	B	국내가격 > 국제가격 → 비교우위 없음 → 수입국.
9	위의 상황에서 무역 개시 후 일어나는 현상은?	한국의 쌀 생산 증가	한국의 쌀 가격 상승	한국의 쌀 수입 증가	한국의 쌀 생산자 모두 이득	C	국내가격(1,500원) → 국제가격(1,000원)으로 하강 → 한국 소비자가 저렴하게 구매 → 수입 증가.
9	관세 부과 시 국내 생산량과 소비량의 변화는?	생산량 증가, 소비량 증가	생산량 증가, 소비량 감소	생산량 감소, 소비량 증가	생산량 감소, 소비량 감소	B	관세 → 가격 ↑ → 국내 생산자는 더 생산, 소비자는 덜 소비.
9	관세 부과의 결과로 발생하는 문제는?	국내 소비자 피해	국내 생산자 이득	총잉여 감소 (경제적 순손실)	①③이 모두 맞다	D	관세 = 세금과 유사한 효과 → 총잉여 감소, 소비자 피해, 생산자 이득.
9	"국가 전체의 무역 총잉여는 증가하는데, 왜 무역을 반대하는가?"라는 질문에 답하면?	무역 반대론자가 틀렸다	무역으로 인한 분배 문제 (일부 산업/근로자 피해)	국가 전체의 이득보다 개인의 피해가 중요할 수 있다	②③이 모두 맞다	D	경제학적으로 무역은 효율성을 높이지만, 현실의 정치·사회적 이슈(근로자 실업, 산업 공동화)가 있다.
9	무역제한 옹호 논리 중 가장 정당한 것은?	국내 산업이 쇠퇴하므로 보호해야 한다	국가안보가 중요한 산업은 보호 필요 (예: 식량, 에너지)	선진국과 경쟁하면 항상 진다	무역 수지를 맞춰야 한다	B	유치산업 보호, 일자리 유지, 협상 카드 등도 있지만, 가장 명확한 근거는 국가안보다.
9	관세를 부과해도 국제가격이 변하지 않는 이유는?	관세가 너무 작아서	소규모개력창경제는 국제가격 영향 불가능	정부가 관세를 제때 걷지 않아서	세계 수요·공급이 한 국가의 관세로 바뀌지 않음	D	소규모개방경제의 특성: 개별 국가는 국제가격의 가격수용자.
9	"우리 산업을 보호하기 위해 관세를 올렸다"는 정책의 경제학적 평가는?	좋은 정책이다 (산업 보호)	단기 효과는 있으나 장기 효과는 부정적일 수 있다 (보호에 의존)	총잉여는 감소한다 (비효율)	②③이 모두 맞다	D	관세는 일시적 보호만 가능하고, 장기적으로는 산업 경쟁력 약화 + 경제적 순손실 초래.
9	"절대우위가 없으면 무역할 수 없다"는 주장은?	맞다 (제3장 학습)	틀렸다 (비교우위가 있으면 가능)	부분적으로 맞다	경제학적으로 판단 불가능	B	제3장의 리카르도 비교우위론과 동일. 절대우위 없어도 비교우위 있으면 교역 가능.
9	"수입국의 생산자는 항상 무역에 반대한다"는 주장의 정확성은?	항상 맞다	일반적으로 맞지만 예외가 있다 (비교우위 있는 경우)	항상 틀렸다	산업에 따라 다르다	D	수입국이어도 자신의 산업이 비교우위를 가지면 수출할 수 있다. 모든 재화에서 수입국인 경우는 드물다.
9	관세 부과로 생기는 정부 수입과 경제적 순손실의 관계는?	정부 수입 > 경제적 순손실	정부 수입 < 경제적 순손실	정부 수입 = 경제적 순손실	무관	B	조세와 동일. 소비자·생산자의 손실이 정부 수입보다 크다.
9	"무역으로 모든 사람이 이득을 본다"는 주장의 문제점은?	틀렸다 (누구나 이득을 본다)	총잉여는 증가하지만, 피해자도 발생한다 (분배 문제)	경제학적으로 증명 불가능	선진국에만 해당	B	무역의 경제학적 결론 = 총잉여 증가, 하지만 현실 = 일부 근로자·산업 피해 (분배 문제).
9	유치산업 보호(Infant Industry Argument)의 문제점은?	논리 자체가 틀렸다	보호가 영구적이 될 수 있다 (철수 불가능)	비효율적 산업도 보호될 수 있다	②③이 모두 맞다	D	이론적으로는 타당하지만, 실제 정치 경제에서는 보호가 지속되는 경향 있음.
9	국제가격이 국내 균형가격보다 높을 때의 분석은?	이 재화에 수출 비교우위 있음	국내 가격이 올라갈 것	무역 개시 후 국내 생산 증가, 소비 감소	①②③이 모두 맞다	D	이는 수출국의 특성 분석이다.
9	"무역이 나라 전체에 이롭지만, 개별 근로자의 일자리를 빼앗는다"는 주장을 경제학적으로 평가하면?	맞다 (총잉여 증가 vs 실업 증가의 상충)	틀렸다 (다른 일자리가 생긴다)	장기 vs 단기로 구분 필요 (장기에 새 일자리 창출)	①③이 모두 타당하다	D	경제학적으로 총잉여는 증가하지만, 현실의 조정 과정에서 실업 발생 가능. 장기에는 재배치되지만 단기 고통은 실제.
